Taluka_name,datetime,Rainfall,latitude,longitude,Human_death_count,Animal_death_count,Financial_Loss
Satara,8-27 7:30,908,17.5780,74.0300,2,4,500000
Jawali,8-27 5:30,1603,17.8797,74.5903,4,20,1500000
Koregaon,8-27 21:00,642,17.6966,74.1607,5,10,100000
Karad,8-27 12:04,632,17.2777,74.1844,3,10,400000
Patan,8-27 21:00,800,17.3735,73.8992,4,17,200000
Phaltan,8-27 20:00,382,17.9845,74.4360,2,10,600000
Man,8-27 22:00,442,17.7031,74.5434,3,12,401000
Khatav,8-27 15:00,415,17.6655,74.3617,1,10,250000
Wai,8-27 21:00,1000,17.9487,73.8919,6,24,507894
Mahabaleshwar,8-27 20:00,2223,17.9307,73.6477,10,30,5147894
Khandala,8-27 2:00,416,18.0525,74.0205,5,10,500789
